Frame,Time (s),Object,Label,Confidence,"Position (x, y)",Team
1,0.03333333333333333,Player,Switzerland,0.8733922,"[1501.8372, 478.64822]",Switzerland
1,0.03333333333333333,Player,France,0.86692,"[1458.8636, 981.2921]",France
1,0.03333333333333333,Player,Switzerland,0.8650197,"[2081.623, 237.59212]",Switzerland
1,0.03333333333333333,Player,France,0.8570967,"[1846.7368, 1706.1746]",France
1,0.03333333333333333,Player,Switzerland,0.85321736,"[1950.0112, 621.4544]",Switzerland
1,0.03333333333333333,Player,France,0.84758955,"[2653.7124, 652.14276]",France
1,0.03333333333333333,Player,Switzerland,0.84265804,"[1781.1829, 486.04504]",Switzerland
1,0.03333333333333333,Player,Switzerland,0.83699197,"[1544.394, 674.8146]",Switzerland
1,0.03333333333333333,Player,France,0.8270151,"[833.6571, 875.35]",France
1,0.03333333333333333,Player,France,0.8223345,"[2600.4202, 948.359]",France
1,0.03333333333333333,Player,France,0.82229203,"[1455.4979, 775.1338]",France
1,0.03333333333333333,Player,Switzerland,0.8210003,"[1353.7445, 497.0027]",Switzerland
1,0.03333333333333333,Player,Switzerland,0.818411,"[2188.9268, 834.4674]",Switzerland
1,0.03333333333333333,Player,France,0.8123676,"[2156.2664, 922.3501]",France
1,0.03333333333333333,Player,France,0.8051367,"[1616.5232, 736.3684]",France
1,0.03333333333333333,Player,Switzerland,0.8005993,"[2411.745, 569.66724]",Switzerland
1,0.03333333333333333,Player,France,0.7481175,"[1695.3457, 636.69073]",France
1,0.03333333333333333,Player,Switzerland,0.73201936,"[1157.8187, 802.8326]",Switzerland
1,0.03333333333333333,Player,France,0.7071687,"[1084.154, 549.88074]",France
1,0.03333333333333333,Player,Switzerland,0.69103557,"[1724.421, 724.3235]",Switzerland
1,0.03333333333333333,Keypoint,TL18MC,,"[1187.1293, 343.13928]",
1,0.03333333333333333,Keypoint,TR18ML,,"[2936.0874, 166.58894]",
1,0.03333333333333333,Keypoint,LMC,,"[1551.0522, 855.4292]",
1,0.03333333333333333,Keypoint,BLArc,,"[1463.4468, 1742.5079]",
1,0.03333333333333333,Keypoint,TL18ML,,"[1273.6726, 177.90358]",
1,0.03333333333333333,Keypoint,TR18MC,,"[3010.7788, 333.1933]",
1,0.03333333333333333,Keypoint,BR18MC,,"[3670.6274, 1772.711]",
1,0.03333333333333333,Keypoint,TL6ML,,"[1725.3054, 176.67723]",
1,0.03333333333333333,Keypoint,TLArc,,"[1761.0509, 339.7718]",
1,0.03333333333333333,Keypoint,LML,,"[109.25583, 854.3435]",
1,0.03333333333333333,Keypoint,RMC,,"[2602.3894, 852.8234]",
1,0.03333333333333333,Keypoint,TLC,,"[698.6088, 168.32996]",
1,0.03333333333333333,Keypoint,TR6ML,,"[2474.712, 173.72461]",
1,0.03333333333333333,Keypoint,BL18MC,,"[451.3525, 1753.333]",
1,0.03333333333333333,Keypoint,TR6MC,,"[2482.2744, 224.89806]",
1,0.03333333333333333,Keypoint,TL6MC,,"[1710.7423, 227.432]",
2,3449197249.4465036,Player,France,0.8702187,"[1458.5732, 985.7212]",France
2,3449197249.4465036,Player,Switzerland,0.86953855,"[1547.9008, 676.4342]",Switzerland
2,3449197249.4465036,Player,Switzerland,0.86830896,"[1948.1714, 626.9197]",Switzerland
2,3449197249.4465036,Player,Switzerland,0.85596853,"[2082.2148, 243.31339]",Switzerland
2,3449197249.4465036,Player,Switzerland,0.8528033,"[1500.5481, 480.4171]",Switzerland
2,3449197249.4465036,Player,France,0.8475712,"[2663.4058, 657.29596]",France
2,3449197249.4465036,Player,France,0.84522533,"[1846.7048, 1712.075]",France
2,3449197249.4465036,Player,France,0.84515697,"[2603.4976, 950.4241]",France
2,3449197249.4465036,Player,France,0.8399982,"[1454.7422, 779.12646]",France
2,3449197249.4465036,Player,France,0.829486,"[830.35925, 879.6719]",France
2,3449197249.4465036,Player,Switzerland,0.8289941,"[1781.8033, 487.88574]",Switzerland
2,3449197249.4465036,Player,France,0.82317114,"[2156.532, 926.29675]",France
2,3449197249.4465036,Player,Switzerland,0.82073855,"[2188.9316, 836.4897]",Switzerland
2,3449197249.4465036,Player,France,0.8195387,"[1615.2009, 742.17957]",France
2,3449197249.4465036,Player,France,0.8194452,"[1354.2308, 499.1465]",France
2,3449197249.4465036,Player,Switzerland,0.80060405,"[2412.598, 574.1074]",Switzerland
2,3449197249.4465036,Player,Switzerland,0.7948573,"[1159.2383, 805.4646]",Switzerland
2,3449197249.4465036,Player,Switzerland,0.75771785,"[1830.5642, 1007.68866]",Switzerland
2,3449197249.4465036,Player,France,0.7574953,"[1698.5951, 643.29114]",France
2,3449197249.4465036,Player,France,0.6663004,"[1082.007, 552.47705]",France
2,3449197249.4465036,Keypoint,TR18ML,,"[2938.019, 170.09418]",
2,3449197249.4465036,Keypoint,TL18MC,,"[1187.0381, 345.9612]",
2,3449197249.4465036,Keypoint,TR18MC,,"[3013.1833, 338.45776]",
2,3449197249.4465036,Keypoint,LMC,,"[1550.7441, 861.7103]",
2,3449197249.4465036,Keypoint,TL6ML,,"[1724.6927, 180.47264]",
2,3449197249.4465036,Keypoint,BR18MC,,"[3673.982, 1781.5488]",
2,3449197249.4465036,Keypoint,TL18ML,,"[1272.2332, 182.00967]",
2,3449197249.4465036,Keypoint,BLArc,,"[1462.1177, 1748.5833]",
2,3449197249.4465036,Keypoint,TLC,,"[695.58514, 172.3619]",
2,3449197249.4465036,Keypoint,BRArc,,"[2619.9863, 1756.5751]",
2,3449197249.4465036,Keypoint,RMC,,"[2603.7163, 859.86017]",
2,3449197249.4465036,Keypoint,TLArc,,"[1761.1102, 343.39844]",
2,3449197249.4465036,Keypoint,TR6ML,,"[2475.5342, 177.1496]",
2,3449197249.4465036,Keypoint,BL18MC,,"[446.99313, 1760.6396]",
2,3449197249.4465036,Keypoint,LML,,"[101.93942, 861.5726]",
2,3449197249.4465036,Keypoint,TL6MC,,"[1708.8618, 229.62383]",
2,3449197249.4465036,Keypoint,TR6MC,,"[2483.4673, 228.5268]",
3,7.77335786819458,Player,France,0.87656564,"[1458.2507, 991.21124]",France
3,7.77335786819458,Player,France,0.85561275,"[1453.819, 782.95605]",France
3,7.77335786819458,Player,Switzerland,0.85280997,"[2082.0872, 241.38762]",Switzerland
3,7.77335786819458,Player,Switzerland,0.851536,"[1944.6919, 633.0504]",Switzerland
3,7.77335786819458,Player,France,0.8508177,"[1845.9254, 1718.4924]",France
3,7.77335786819458,Player,France,0.84846,"[2608.9072, 952.88074]",France
3,7.77335786819458,Player,France,0.84830564,"[1614.2853, 744.6022]",France
3,7.77335786819458,Player,France,0.84515643,"[2672.8408, 661.72925]",France
3,7.77335786819458,Player,Switzerland,0.84509265,"[1551.7537, 679.4746]",Switzerland
3,7.77335786819458,Player,Switzerland,0.8445514,"[2413.421, 577.14954]",Switzerland
3,7.77335786819458,Player,France,0.84329814,"[827.96796, 884.48987]",France
3,7.77335786819458,Player,Switzerland,0.82594365,"[1782.1483, 492.74432]",Switzerland
