Frame,Time (s),Object,Label,Confidence,"Position (x, y)",Team
1,0.03333333333333333,Player,France,0.8746285,"[731.54846, 643.3794]",France
1,0.03333333333333333,Player,France,0.85591245,"[515.54333, 377.68158]",France
1,0.03333333333333333,Player,Switzerland,0.84873,"[839.7545, 371.89764]",Switzerland
1,0.03333333333333333,Player,Switzerland,0.845157,"[730.59515, 154.27083]",Switzerland
1,0.03333333333333333,Player,Switzerland,0.8440917,"[989.32996, 363.8636]",Switzerland
1,0.03333333333333333,Player,France,0.8388038,"[955.25433, 387.7022]",France
1,0.03333333333333333,Player,Switzerland,0.83879673,"[628.53955, 330.82538]",Switzerland
1,0.03333333333333333,Player,France,0.83821034,"[558.7082, 216.90602]",France
1,0.03333333333333333,Player,France,0.8374893,"[493.18506, 320.6597]",France
1,0.03333333333333333,Player,France,0.8368106,"[757.8091, 390.55]",France
1,0.03333333333333333,Player,France,0.8364297,"[1094.7935, 388.81146]",France
1,0.03333333333333333,Player,Switzerland,0.83204734,"[171.35641, 337.12128]",Switzerland
1,0.03333333333333333,Player,France,0.82676864,"[920.91516, 295.41742]",France
1,0.03333333333333333,Player,Switzerland,0.8262467,"[1041.9025, 389.15277]",Switzerland
1,0.03333333333333333,Player,Switzerland,0.8103012,"[972.51324, 164.98236]",Switzerland
1,0.03333333333333333,Player,France,0.8008451,"[892.1797, 222.13144]",France
1,0.03333333333333333,Keypoint,TR18ML,,"[1068.252, 25.375992]",
1,0.03333333333333333,Keypoint,TL18MC,,"[499.6026, 77.07196]",
1,0.03333333333333333,Keypoint,TLArc,,"[682.63104, 77.87317]",
1,0.03333333333333333,Keypoint,BL18MC,,"[263.9989, 517.58545]",
1,0.03333333333333333,Keypoint,TL18ML,,"[526.7439, 24.248474]",
1,0.03333333333333333,Keypoint,TR6ML,,"[914.9651, 26.31874]",
1,0.03333333333333333,Keypoint,TL6MC,,"[667.43915, 41.694885]",
1,0.03333333333333333,Keypoint,RMC,,"[951.25854, 247.09525]",
1,0.03333333333333333,Keypoint,BLArc,,"[579.0056, 523.8952]",
1,0.03333333333333333,Keypoint,BR6MC,,"[1019.13525, 677.78125]",
1,0.03333333333333333,Keypoint,TR6MC,,"[917.59937, 42.47513]",
1,0.03333333333333333,Keypoint,LMC,,"[611.8528, 241.60834]",
1,0.03333333333333333,Keypoint,BL6MC,,"[500.74274, 657.61633]",
1,0.03333333333333333,Keypoint,LML,,"[161.45908, 234.61353]",
1,0.03333333333333333,Keypoint,TLC,,"[346.7599, 20.431015]",
1,0.03333333333333333,Keypoint,TRC,,"[1270.4264, 20.6044]",
1,0.03333333333333333,Keypoint,TL6ML,,"[671.2823, 25.860268]",
1,0.03333333333333333,Keypoint,TRArc,,"[897.55786, 79.19517]",
2,3448971405.5246916,Player,France,0.877252,"[733.8616, 642.2334]",France
2,3448971405.5246916,Player,France,0.8602675,"[560.55554, 214.43805]",France
2,3448971405.5246916,Player,France,0.85415304,"[521.9078, 375.80423]",France
2,3448971405.5246916,Player,Switzerland,0.8535761,"[1199.9192, 198.61447]",Switzerland
2,3448971405.5246916,Player,Switzerland,0.85021734,"[841.85657, 369.21585]",Switzerland
2,3448971405.5246916,Player,France,0.84900314,"[1094.8418, 386.81592]",France
2,3448971405.5246916,Player,France,0.8462756,"[495.62888, 318.47778]",France
2,3448971405.5246916,Ball,Ball,0.8414683,"[129.92848793942707, 353.2098572834387]",
2,3448971405.5246916,Player,Switzerland,0.8346009,"[731.90796, 151.76472]",Switzerland
2,3448971405.5246916,Player,Switzerland,0.83372414,"[1042.5796, 387.8034]",Switzerland
2,3448971405.5246916,Player,France,0.83086514,"[759.89075, 389.28552]",France
2,3448971405.5246916,Ball,Ball,0.8272197,"[129.92848793942707, 353.2098572834387]",
